tech_id,platform,id,description
T1016,"['Linux', 'macOS', 'Windows', 'Network']",relationship--00038d0e-7fc7-41c3-9055-edb4d87ea912, [Explosive](https://attack.mitre.org/software/S0569) has collected the MAC address from the victim's machine.(Citation: CheckPoint Volatile Cedar March 2015) 
T1003.001,['Windows'],relationship--000aa4d0-315e-40d7-b2b6-76e91ecf0fe8,[Indrik Spider](https://attack.mitre.org/groups/G0119) used [Cobalt Strike](https://attack.mitre.org/software/S0154) to carry out credential dumping using ProcDump.(Citation: Symantec WastedLocker June 2020)
T1573.002,"['Linux', 'macOS', 'Windows']",relationship--00192a5f-9dc0-445a-b010-d77bd08aac93,[SombRAT](https://attack.mitre.org/software/S0615) can SSL encrypt C2 traffic.(Citation: BlackBerry CostaRicto November 2020)(Citation: FireEye FiveHands April 2021)(Citation: CISA AR21-126A FIVEHANDS May 2021)
T1016.001,"['Windows', 'Linux', 'macOS']",relationship--001ecf24-8276-40d2-ba05-2d20e5c53ec9,[GoldFinder](https://attack.mitre.org/software/S0597) performed HTTP GET requests to check internet connectivity and identify HTTP proxy servers and other redirectors that an HTTP request traveled through.(Citation: MSTIC NOBELIUM Mar 2021)
T1090.004,"['Linux', 'macOS', 'Windows']",relationship--0023f0a7-26ae-40ec-ac6e-9dacf5217fb9,[Cobalt Strike](https://attack.mitre.org/software/S0154) has the ability to accept a value for HTTP Host Header to enable domain fronting.(Citation: Cobalt Strike Manual 4.3 November 2020)
T1124,"['Windows', 'Network']",relationship--0024d82d-97ea-4dc5-81a1-8738862e1f3b,[Shamoon](https://attack.mitre.org/software/S0140) obtains the system time and will only activate if it is greater than a preset date.(Citation: Palo Alto Shamoon Nov 2016)(Citation: Unit 42 Shamoon3 2018)
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--002c9202-d7a0-4181-b912-42f7d6d38339,[Micropsia](https://attack.mitre.org/software/S0339) gathers the hostname and OS version from the victim’s machine.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia July 2018)
T1572,"['Linux', 'macOS', 'Windows']",relationship--002e561a-5500-4293-a876-01e8205a67c8,"During [C0027](https://attack.mitre.org/campaigns/C0027), [Scattered Spider](https://attack.mitre.org/groups/G1015) used SSH tunneling in targeted environments.(Citation: Crowdstrike TELCO BPO Campaign December 2022)"
T1539,"['Linux', 'macOS', 'Windows', 'Office 365', 'SaaS', 'Google Workspace']",relationship--002f1039-f4c5-4c60-b8ac-ced374bec2ac,[LuminousMoth](https://attack.mitre.org/groups/G1014) has used an unnamed post-exploitation tool to steal cookies from the Chrome browser.(Citation: Kaspersky LuminousMoth July 2021)
T1012,['Windows'],relationship--0032f447-1ab7-427d-b7ae-baa436dc2411,"During [Operation Wocao](https://attack.mitre.org/campaigns/C0014), the threat actors executed `/c cd /d c:\windows\temp\ & reg query HKEY_CURRENT_USER\Software\<username>\PuTTY\Sessions\` to detect recent PuTTY sessions, likely to further lateral movement.(Citation: FoxIT Wocao December 2019)"
T1136.001,"['Linux', 'macOS', 'Windows', 'Network', 'Containers']",relationship--0038b0b8-f51c-4fd1-8b04-2fd7ebd1d61d,[Wizard Spider](https://attack.mitre.org/groups/G0102) has created local administrator accounts to maintain persistence in compromised networks.(Citation: Mandiant FIN12 Oct 2021)
T1135,"['macOS', 'Windows', 'Linux']",relationship--003eed51-a560-44f1-9149-5a11bdaebe6f,[BADHATCH](https://attack.mitre.org/software/S1081) can check a user's access to the C$ share on a compromised machine.(Citation: BitDefender BADHATCH Mar 2021) 
T1547.009,['Windows'],relationship--0040312a-e85d-4066-8203-2e66f8aa5288,[RogueRobin](https://attack.mitre.org/software/S0270) establishes persistence by creating a shortcut (.LNK file) in the Windows startup folder to run a script each time the user logs in.(Citation: Unit 42 DarkHydrus July 2018)(Citation: Unit42 DarkHydrus Jan 2019)
T1547.001,['Windows'],relationship--0040fdbd-ec7e-49b3-b715-c8c91e08666b,Variants of [Emissary](https://attack.mitre.org/software/S0082) have added Run Registry keys to establish persistence.(Citation: Emissary Trojan Feb 2016)
T1007,"['Windows', 'macOS', 'Linux']",relationship--00490a17-1032-461b-8085-500d56bb80f5,[Ursnif](https://attack.mitre.org/software/S0386) has gathered information about running services.(Citation: TrendMicro Ursnif Mar 2015)
T1071.001,"['Linux', 'macOS', 'Windows']",relationship--004cc00b-0a84-4783-aa4e-16b47f7465b2,[Mori](https://attack.mitre.org/software/S1047) can communicate using HTTP over IPv4 or IPv6 depending on a flag set.(Citation: DHS CISA AA22-055A MuddyWater February 2022)
T1027,"['Linux', 'macOS', 'Windows']",relationship--0051db4d-9eb9-4b22-93a5-b6593176da75,[DEADEYE](https://attack.mitre.org/software/S1052) has encrypted its payload.(Citation: Mandiant APT41)
T1204.001,"['Linux', 'macOS', 'Windows']",relationship--00561c3c-345e-4578-95c3-b7e0a95db7b1,[FIN7](https://attack.mitre.org/groups/G0046) has used malicious links to lure victims into downloading malware.(Citation: CrowdStrike Carbon Spider August 2021)
T1053.005,['Windows'],relationship--005b6fd1-be80-424b-b6df-2ff88d390b1b,[GoldMax](https://attack.mitre.org/software/S0588) has used scheduled tasks to maintain persistence.(Citation: MSTIC NOBELIUM Mar 2021)
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b,[njRAT](https://attack.mitre.org/software/S0385) enumerates the victim operating system and computer name during the initial infection.(Citation: Fidelis njRAT June 2013)
T1070.004,"['Linux', 'macOS', 'Windows']",relationship--0061f7aa-fe4e-41e5-8ebf-e9f526bda08f,[TDTESS](https://attack.mitre.org/software/S0164) creates then deletes log files during installation of itself as a service.(Citation: ClearSky Wilted Tulip July 2017)
T1059.001,['Windows'],relationship--0068ee65-0945-4f69-ba81-163ffbc05e53,[WIRTE](https://attack.mitre.org/groups/G0090) has used PowerShell for script execution.(Citation: Lab52 WIRTE Apr 2019)
T1486,"['Linux', 'macOS', 'Windows', 'IaaS']",relationship--006e029e-0714-4f99-befd-53b9fbc7c8c8,"[Maze](https://attack.mitre.org/software/S0449) has disrupted systems by encrypting files on targeted machines, claiming to decrypt files if a ransom payment is made. [Maze](https://attack.mitre.org/software/S0449) has used the ChaCha algorithm, based on Salsa20, and an RSA algorithm to encrypt files.(Citation: FireEye Maze May 2020)"
